ACM.x[0],ACM.x[1],ACM.x[2],ACM.x[3],ACM.Tem,CTRL.uMs_cmd,CTRL.uTs_cmd,CTRL.iMs_cmd,CTRL.iMs,CTRL.iTs_cmd,CTRL.iTs,ob.psi_mu_al,ob.tajima.omg*RAD_PER_SEC_2_RPM,ACM.rpm
1.03444,0,0.139114,0,0,4.38108,0,1.11557,1.03419,-0,0,0.15176,-11.8139,0
1.0357,0,0.140641,0,0,4.38111,0,1.11557,1.03545,-0,0,0.153303,-11.7776,0
1.03694,0,0.142164,0,0,4.38107,0,1.11557,1.03669,-0,0,0.15484,-11.7413,0
1.03816,0,0.143682,0,0,4.38099,0,1.11557,1.03792,-0,0,0.156374,-11.7048,0
1.03937,0,0.145195,0,0,4.38085,0,1.11557,1.03913,-0,0,0.157902,-11.6683,0
1.04056,0,0.146704,0,0,4.38065,0,1.11557,1.04032,-0,0,0.159426,-11.6317,0
1.04174,0,0.148209,0,0,4.38041,0,1.11557,1.0415,-0,0,0.160944,-11.5951,0
1.0429,0,0.149709,0,0,4.38011,0,1.11557,1.04267,-0,0,0.162458,-11.5584,0
1.04405,0,0.151204,0,0,4.37976,0,1.11557,1.04382,-0,0,0.163968,-11.5217,0
1.04518,0,0.152694,0,0,4.37937,0,1.11557,1.04496,-0,0,0.165472,-11.4849,0
1.0463,0,0.15418,0,0,4.37892,0,1.11557,1.04608,-0,0,0.166972,-11.448,0
1.04741,0,0.155662,0,0,4.37843,0,1.11557,1.04719,-0,0,0.168466,-11.4111,0
1.0485,0,0.157138,0,0,4.37789,0,1.11557,1.04828,-0,0,0.169956,-11.3742,0
1.04958,0,0.15861,0,0,4.3773,0,1.11557,1.04936,-0,0,0.171442,-11.3372,0
1.05064,0,0.160078,0,0,4.37667,0,1.11557,1.05043,-0,0,0.172922,-11.3002,0
1.05169,0,0.16154,0,0,4.37599,0,1.11557,1.05148,-0,0,0.174397,-11.2632,0
1.05273,0,0.162998,0,0,4.37527,0,1.11557,1.05252,-0,0,0.175868,-11.2261,0
1.05375,0,0.164451,0,0,4.3745,0,1.11557,1.05355,-0,0,0.177334,-11.189,0
1.05476,0,0.1659,0,0,4.37369,0,1.11557,1.05456,-0,0,0.178795,-11.1519,0
1.05576,0,0.167344,0,0,4.37284,0,1.11557,1.05556,-0,0,0.180251,-11.1147,0
1.05675,0,0.168783,0,0,4.37195,0,1.11557,1.05655,-0,0,0.181702,-11.0775,0
1.05772,0,0.170218,0,0,4.37102,0,1.11557,1.05753,-0,0,0.183149,-11.0403,0
1.05868,0,0.171647,0,0,4.37005,0,1.11557,1.05849,-0,0,0.18459,-11.0031,0
1.05963,0,0.173073,0,0,4.36904,0,1.11557,1.05944,-0,0,0.186027,-10.9659,0
1.06056,0,0.174493,0,0,4.368,0,1.11557,1.06038,-0,0,0.187459,-10.9287,0
1.06149,0,0.175909,0,0,4.36691,0,1.11557,1.0613,-0,0,0.188885,-10.8914,0
1.0624,0,0.17732,0,0,4.36579,0,1.11557,1.06222,-0,0,0.190308,-10.8541,0
1.0633,0,0.178726,0,0,4.36463,0,1.11557,1.06312,-0,0,0.191725,-10.8169,0
1.06419,0,0.180127,0,0,4.36343,0,1.11557,1.06401,-0,0,0.193137,-10.7796,0
1.06507,0,0.181524,0,0,4.3622,0,1.11557,1.06489,-0,0,0.194544,-10.7424,0
1.06593,0,0.182916,0,0,4.36094,0,1.11557,1.06576,-0,0,0.195947,-10.7051,0
1.06679,0,0.184303,0,0,4.35964,0,1.11557,1.06662,-0,0,0.197345,-10.6678,0
1.06763,0,0.185686,0,0,4.35831,0,1.11557,1.06746,-0,0,0.198738,-10.6306,0
1.06846,0,0.187064,0,0,4.35695,0,1.11557,1.0683,-0,0,0.200126,-10.5933,0
1.06928,0,0.188437,0,0,4.35555,0,1.11557,1.06912,-0,0,0.201509,-10.5561,0
1.07009,0,0.189805,0,0,4.35413,0,1.11557,1.06993,-0,0,0.202887,-10.5188,0
1.0709,0,0.191169,0,0,4.35267,0,1.11557,1.07074,-0,0,0.20426,-10.4816,0
1.07169,0,0.192527,0,0,4.35118,0,1.11557,1.07153,-0,0,0.205629,-10.4444,0
1.07247,0,0.193882,0,0,4.34967,0,1.11557,1.07231,-0,0,0.206993,-10.4072,0
1.07324,0,0.195231,0,0,4.34812,0,1.11557,1.07308,-0,0,0.208351,-10.3701,0
1.074,0,0.196576,0,0,4.34655,0,1.11557,1.07384,-0,0,0.209705,-10.3329,0
1.07475,0,0.197916,0,0,4.34494,0,1.11557,1.0746,-0,0,0.211054,-10.2958,0
1.07549,0,0.199251,0,0,4.34331,0,1.11557,1.07534,-0,0,0.212399,-10.2587,0
1.07622,0,0.200581,0,0,4.34166,0,1.11557,1.07607,-0,0,0.213738,-10.2216,0
1.07694,0,0.201907,0,0,4.33997,0,1.11557,1.07679,-0,0,0.215073,-10.1846,0
1.07765,0,0.203228,0,0,4.33827,0,1.11557,1.07751,-0,0,0.216402,-10.1475,0
1.07835,0,0.204544,0,0,4.33653,0,1.11557,1.07821,-0,0,0.217727,-10.1105,0
1.07904,0,0.205856,0,0,4.33477,0,1.11557,1.0789,-0,0,0.219047,-10.0736,0
1.07973,0,0.207163,0,0,4.33299,0,1.11557,1.07959,-0,0,0.220362,-10.0367,0
1.0804,0,0.208465,0,0,4.33118,0,1.11557,1.08027,-0,0,0.221673,-9.99976,0
1.08107,0,0.209762,0,0,4.32935,0,1.11557,1.08093,-0,0,0.222978,-9.96291,0
1.08172,0,0.211055,0,0,4.3275,0,1.11557,1.08159,-0,0,0.224279,-9.92609,0
1.08237,0,0.212343,0,0,4.32562,0,1.11557,1.08224,-0,0,0.225575,-9.88931,0
1.08301,0,0.213626,0,0,4.32372,0,1.11557,1.08288,-0,0,0.226866,-9.85257,0
1.08364,0,0.214905,0,0,4.32181,0,1.11557,1.08352,-0,0,0.228152,-9.81588,0
1.08426,0,0.216179,0,0,4.31987,0,1.11557,1.08414,-0,0,0.229434,-9.77922,0
1.08488,0,0.217448,0,0,4.3179,0,1.11557,1.08476,-0,0,0.230711,-9.74262,0
1.08548,0,0.218713,0,0,4.31592,0,1.11557,1.08536,-0,0,0.231983,-9.70606,0
1.08608,0,0.219973,0,0,4.31392,0,1.11557,1.08596,-0,0,0.23325,-9.66954,0
1.08667,0,0.221228,0,0,4.3119,0,1.11557,1.08656,-0,0,0.234512,-9.63308,0
1.08726,0,0.222478,0,0,4.30986,0,1.11557,1.08714,-0,0,0.23577,-9.59666,0
1.08783,0,0.223724,0,0,4.30781,0,1.11557,1.08772,-0,0,0.237023,-9.5603,0
1.0884,0,0.224965,0,0,4.30573,0,1.11557,1.08828,-0,0,0.238271,-9.52398,0
1.08896,0,0.226202,0,0,4.30364,0,1.11557,1.08884,-0,0,0.239515,-9.48772,0
1.08951,0,0.227434,0,0,4.30153,0,1.11557,1.0894,-0,0,0.240753,-9.45152,0
1.09005,0,0.228661,0,0,4.2994,0,1.11557,1.08994,-0,0,0.241987,-9.41537,0
1.09059,0,0.229884,0,0,4.29726,0,1.11557,1.09048,-0,0,0.243216,-9.37928,0
1.09112,0,0.231102,0,0,4.2951,0,1.11557,1.09101,-0,0,0.244441,-9.34325,0
1.09164,0,0.232315,0,0,4.29293,0,1.11557,1.09154,-0,0,0.245661,-9.30727,0
1.09216,0,0.233524,0,0,4.29074,0,1.11557,1.09205,-0,0,0.246876,-9.27136,0
1.09266,0,0.234728,0,0,4.28853,0,1.11557,1.09256,-0,0,0.248086,-9.23551,0
1.09317,0,0.235928,0,0,4.28631,0,1.11557,1.09307,-0,0,0.249292,-9.19972,0
1.09366,0,0.237123,0,0,4.28408,0,1.11557,1.09356,-0,0,0.250493,-9.16399,0
